Comp_Name,Title,Location,Job_Type
Premier Services and Recruitment,Senior Odoo Implementer," 
New Cairo, Cairo",Full Time
LABS,SAP HCM Support Consultant," 
Nasr City, Cairo",Full Time
LABS,SAP HCM Support Consultant," 
Nasr City, Cairo",Work From Home
Confidential Company,Salesforce Senior Developer,"Cairo, Egypt",Full Time
Giza Arabia Systems,Specialist BI Developer - Team Lead," 
Cairo, Egypt",Full Time
DXC.technology,Business Analyst," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Systems Engineer," 
Cairo, Egypt",Full Time
Decorative Glass And Arab Union Glass Group,Group ICT Business Applications Section Head," 
Obour City, Cairo",Full Time
IST Networks,Senior Solution Architect - Billing," 
Maadi, Cairo",Full Time
IST Networks,E2E Solution Architect," 
Maadi, Cairo",Full Time
Anzma tech,"Light Current Systems, Site Engineer"," 
Maadi, Cairo",Full Time
IST Networks,Sr. Solution Architect - Business CRM," 
Maadi, Cairo",Full Time
IST Networks,Solution Architect - AI," 
Maadi, Cairo",Full Time
IST Networks,Senior Developer - Full Stack," 
Maadi, Cairo",Full Time
Superior Business Solutions,Odoo Functional Consultant," 
Nasr City, Cairo",Full Time
Horizon Agency,Software Tester," 
New Cairo, Cairo",Full Time
DX Republic,Business Analyst," 
Cairo, Egypt",Full Time
As-Salam International Hospital,Senior Hardware support," 
New Cairo, Cairo",Full Time
Confidential Company,Software Tester,"Cairo, Egypt",Work From Home
Dynamicslink,Senior Full Stack Developer (.Net Core - MVC)," 
Nasr City, Cairo",Full Time
Centione,Odoo Developer Team Leader," 
Nasr City, Cairo",Full Time
Confidential Company,Back End Lead - .Net + Python OR Node,"Cairo, Egypt",Full Time
Finiex Soft,Software Tester - Alexandria," 
Fleming, Alexandria",Full Time
Algoriza,Senior React Native Developer," 
6th of October, Giza",Full Time
ITS,Database Administrator," 
Cairo, Egypt",Full Time
Dorra Group,Apex Developer," 
6th of October, Giza",Full Time
Outservingplus,Senior QA testing / Software Company," 
Giza, Egypt",Freelance / Project
Outservingplus,UX Designer," 
Giza, Egypt",Freelance / Project
Nahdet Misr Publishing Group,Technical Writer," 
Mohandessin, Giza",Part Time
Nahdet Misr Publishing Group,Technical Writer," 
Mohandessin, Giza",Freelance / Project
Jumia,Engineering Manager," 
New Cairo, Cairo",Full Time
Jumia,Java Software Engineer," 
Cairo, Egypt",Full Time
Jumia,Senior Golang Software Engineer," 
New Cairo, Cairo",Full Time
"White House Nannies, Inc.",Ideal Hours for Nanny Job w/ 1 Baby," 
Alexandria, Egypt",Full Time
DXC.technology,Project Manager," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Security Infrastructure Engineer," 
Cairo, Egypt",Full Time
Perfect Presentation,Junior IOS Developer," 
6th of October, Giza",Full Time
Perfect Presentation,Junior Andriod Developer," 
6th of October, Giza",Full Time
Perfect Presentation,Senior Android Developer," 
6th of October, Giza",Full Time
Qsource,Technical Support," 
New Cairo, Cairo",Full Time
Confidential Company,IT Help Desk Specialist,"Cairo, Egypt",Full Time
Mubasher,Inside Sales Representatives & Team Leader," 
Nasr City, Cairo",Full Time
Azdan Business Analytics,Oracle EPM Senior Consultant-Planning," 
Cairo, Egypt",Full Time
Al Ahly capital holding - Al Ahly Tamkeen,Senior Oracle Apps Functional Consultant," 
Zamalek, Cairo",Full Time
Giza Arabia Systems,Cybersecurity Operations Engineer," 
Cairo, Egypt",Full Time
"Halliburton Energy Services, Inc.",Service Operator I-Testing Tools," 
Cairo, Egypt",Full Time
MICA,Java Instructor," 
Haram, Giza",Full Time
Kode Clubs - Hassan Allam Sports Clubs,Maintenance Coordinator (Facilities Coordinator)," 
New Cairo, Cairo",Full Time
HITS Solutions,Software Developer," 
Nasr City, Cairo",Full Time
9H Capital,Technical Traffic Manager/Projects Lead," 
Cairo, Egypt",Full Time
9H Capital,Technical Traffic Manager/Projects Lead," 
Cairo, Egypt",Work From Home
9H Capital,Brand Graphic Designer," 
Cairo, Egypt",Full Time
9H Capital,Brand Graphic Designer," 
Cairo, Egypt",Work From Home
Azdan Business Analytics,Oracle Senior EPM Consultant (Consolidation)," 
Cairo, Egypt",Full Time
Alouf Travel,IT Specialist," 
6th of October, Giza",Full Time
InnovaDigits,Senior Python Developer (Django)," 
Cairo, Egypt",Full Time
InnovaDigits,Senior Python Developer (Django)," 
Cairo, Egypt",Work From Home
Rawaj-HCM,Oracle Financial Support Consultant - Telecommunications Industry," 
Sheraton, Cairo",Full Time
InnovaDigits,Senior Front End Developer (React.js)," 
Cairo, Egypt",Full Time
InnovaDigits,Senior Front End Developer (React.js)," 
Cairo, Egypt",Work From Home
DIRAC SYSTEMS,Software Tele-sales," 
Heliopolis, Cairo",Full Time
DIRAC SYSTEMS,Software sales Specialist," 
Heliopolis, Cairo",Full Time
3S Software,Full Stack Developer Team Lead," 
Nasr City, Cairo",Full Time
3S Software,Full Stack Developer Team Lead," 
Nasr City, Cairo",Work From Home
Ahmed El-Sallab,IT Help Desk," 
Mokattam, Cairo",Full Time
Nahdetmisr For Environmental services,DotNet Developer," 
Moharam Bek, Alexandria",Full Time
shaheen communication data systems,Programmer & Back-office support," 
Cairo, Egypt",Full Time
Confidential Company,Senior Technical Recruiter,"Cairo, Egypt",Full Time
Global Brands,Junior React Developer," 
New Cairo, Cairo",Full Time
IBM WTC Egypt,Package Consultant - German Speaking," 
Cairo, Egypt",Full Time
DXC.technology,Data Engineer," 
Cairo, Egypt",Full Time
Antal International - Egypt,ITSM Senior Analyst - Service Now Developer," 
Cairo, Egypt",Full Time
Amazon MENA,"Vendor Consultant - Italian, AVS-NOP"," 
Cairo, Egypt",Full Time
Enwan Developments,Technical Engineer," 
New Cairo, Cairo",Full Time
Dafa,"Back end Developer Node Js, PHP"," 
Giza, Egypt",Full Time
Confidential Company,Genesys consultant,"Cairo, Egypt",Full Time
Mazar construction,IT Assistant," 
New Cairo, Cairo",Full Time
Viavi Solutions,Senior Technical Support Engineer," 
Maadi, Cairo",Full Time
GET Group- Egypt,Team Lead .Net Developer," 
Cairo, Egypt",Full Time
Antal International - Egypt,SAP Fiori Developer Analyst," 
Cairo, Egypt",Full Time
Antal International - Egypt,SAP ABAP Analyst," 
Cairo, Egypt",Full Time
Exacall,Senior Frontend (React & Vue Js)," 
Cairo, Egypt",Full Time
Exacall,"Senior Backend Developer (Node, Nest.js)"," 
Cairo, Egypt",Full Time
"Honeywell International, Inc.",Certification Engr II," 
Cairo, Egypt",Full Time
Pure Group,Senior React Developer," 
Cairo, Egypt",Full Time
Pure Group,Senior Odoo Developer," 
Cairo, Egypt",Full Time
EELU,Communications Engineer," 
Dokki, Giza",Full Time
IBM WTC Egypt,Data Engineer-Data Integration," 
Cairo, Egypt",Full Time
Antal International - Egypt,GTM SAP DSD Sub-Lead," 
Cairo, Egypt",Full Time
Logistica,ERP Specialist - Microsoft Dynamics AX2012/365," 
6th of October, Giza",Full Time
Logistica,Applications Supervisor," 
6th of October, Giza",Full Time
Estafsar,UI/UX Developer," 
Downtown, Cairo",Full Time
Xceed Contact Center,Information Services Administrator," 
6th of October, Giza",Full Time
Etisalat Egypt,NOC Senior Engineer," 
6th of October, Giza",Full Time
United Group For Engineering And Investment,Senior IT Specialist," 
Nasr City, Cairo",Full Time
Confidential Company,Front End Developer (Angular),"Cairo, Egypt",Full Time
Confidential Company,Front End Developer (Angular),"Cairo, Egypt",Work From Home
Ultimate Academy,ERP Sales Representative," 
Sheikh Zayed, Giza",Full Time
Confidential Company,Backend Developer (Java Spring Boot),"Cairo, Egypt",Full Time
Confidential Company,Backend Developer (Java Spring Boot),"Cairo, Egypt",Work From Home
Link Datacenter,Junior Operations Engineer - Network/Cloud," 
Giza, Egypt",Full Time
Link Datacenter,Software Quality Control Engineer," 
Maadi, Cairo",Full Time
Link Datacenter,SOC Analyst," 
Giza, Egypt",Full Time
WSC,Senior NET Developer," 
Dokki, Giza",Full Time
ثقة الانجاز,Senior Flutter Developer," 
New Cairo, Cairo",Full Time
ثقة الانجاز,Senior Quality Control Engineer," 
New Cairo, Cairo",Full Time
El-Sewedy Electrometer,Senior Full Stack Developer," 
6th of October, Giza",Full Time
ثقة الانجاز,Senior Backend Developer," 
New Cairo, Cairo",Full Time
ثقة الانجاز,Senior Frontend Developer," 
New Cairo, Cairo",Full Time
CyberX,Laravel Developer," 
Cairo, Egypt",Full Time
CyberX,Flutter developer," 
Cairo, Egypt",Full Time
CyberX,Vue.JS Frontend Developer," 
Cairo, Egypt",Full Time
Softec Technologies,Senior iOS and Flutter Developer," 
Maadi, Cairo",Full Time
qTech.,Team Leader Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Full Time
AGG information technology,Software Engineer," 
Nasr City, Cairo",Full Time
waffarha.com,Sr. Devops Engineer," 
Downtown, Cairo",Full Time
3D Diagnostix,Technical Support Agent (Fluent English Speaker)," 
Maadi, Cairo",Full Time
Art Link,Senior Backend Developer," 
Smouha, Alexandria",Full Time
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer," 
New Capital, Cairo",Full Time
El Alsson British & American International School,IT Help Desk," 
6th of October, Giza",Full Time
Schneider Electric - Egypt,Senior Technical Support Engineer ( French speaker)," 
Cairo, Egypt",Full Time
"White House Nannies, Inc.",Great Schedule for an Active & Fun-loving Nanny," 
Alexandria, Egypt",Full Time
Giza Arabia Systems,Specialist Big Data Administrator - SWDC," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Site Reliability Engineer Specialist - SWDC," 
Cairo, Egypt",Full Time
Antal International - Egypt,Information Security Manager," 
Cairo, Egypt",Full Time
classera,Hardware Partnerships Sales Officer," 
New Cairo, Cairo",Full Time
Confidential Company,Blender - 3 D Animator,"Cairo, Egypt",Freelance / Project
Confidential Company,Technical Recruiter,"Cairo, Egypt",Full Time
Confidential Company,Pre Sales Software Engineer,"Cairo, Egypt",Full Time
Premium Card,Technical Support Specialist," 
Dokki, Giza",Full Time
Infotech,IT Administrator," 
Nasr City, Cairo",Full Time
Roaya,Technical Projects Coordinator - IT Background," 
Maadi, Cairo",Full Time
Lychee Fruit Bar,Quality Assurance Specialist," 
Cairo, Egypt",Full Time
Confidential Company,Senior Technical office & design engineer - EARTHING AND LIGHTNING,"Cairo, Egypt",Full Time
Xceed Contact Center,Information Security Senior Supervisor," 
Maadi, Cairo",Full Time
Mazaya,IT Specialist," 
New Cairo, Cairo",Full Time
GS - GEO Solutions,Senior Full Stack developer (.Net & Angular)," 
Cairo, Egypt",Full Time
Arabic Localizer,Business Development Executive - Mawared Software Solutions," 
Mohandessin, Giza",Full Time
Arabic Localizer,Business Development Executive - Mawared Software Solutions," 
Mohandessin, Giza",Work From Home
hyperone,Technical Support Specialist," 
10th of Ramadan City, Sharqia",Full Time
Expert Apps,Senior Business Analyst," 
Maadi, Cairo",Full Time
K Line Europe,Senior Software Engineer," 
Nasr City, Cairo",Full Time
K Line Europe,Senior Software Engineer," 
Nasr City, Cairo",Work From Home
TTC Technologies,Embedded Hardware Engineer - PCB Design," 
Heliopolis, Cairo",Full Time
Injaz Tech for advanced systems,Sales Specialist (IT Solutions)," 
Heliopolis, Cairo",Full Time
SE Wiring Systems EGYPT,IT Engineer," 
6th of October, Giza",Full Time
qTech.,Senior UI Developer," 
Mansoura, Dakahlia",Full Time
qTech.,UI Developer," 
Mansoura, Dakahlia",Full Time
qTech.,Senior UI/UX Designer," 
Mansoura, Dakahlia",Full Time
qTech.,UI/UX Designer," 
Mansoura, Dakahlia",Full Time
qTech.,Software Business Analyst," 
Mansoura, Dakahlia",Full Time
qTech.,Senior Software Business Analyst," 
Mansoura, Dakahlia",Full Time
qTech.,Senior Software Quality Control Engineer," 
Mansoura, Dakahlia",Full Time
qTech.,Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Full Time
qTech.,Senior ARC GIS Developer," 
Mansoura, Dakahlia",Full Time
qTech.,Senior Full Stack Developer (Asp.net Core– Angular)," 
Mansoura, Dakahlia",Full Time
qTech.,Full Stack (.Net Developer)," 
Mansoura, Dakahlia",Full Time
qTech.,Senior Full Stack (.Net Developer)," 
Mansoura, Dakahlia",Full Time
ElMotaheda Web,Flutter Developer," 
Nasr City, Cairo",Full Time
Johnson & Johnson,Master Data Analyst," 
Cairo, Egypt",Full Time
Cryptostart,Web developer," 
Cairo, Egypt",Full Time
World Food Program - Other locations,Information Management & Performance Reporting Officer NOA," 
Cairo, Egypt",Full Time
World Food Program - Other locations,Programme Assistant (Data Analyst)," 
Cairo, Egypt",Full Time
Egabi FSI,Project Manager," 
Sheraton, Cairo",Full Time
Confidential Company,BI Developer,"Cairo, Egypt",Full Time
Our Education,"Software Engineer - (Laravel, Vue, Golang)"," 
Nasr City, Cairo",Full Time
Our Education,Senior Software Business Analyst / ERP," 
Nasr City, Cairo",Full Time
SMARTTEL,Pre Sales Engineer-Low Current," 
Nasr City, Cairo",Full Time
Rashideen Egypt for Trade,System Administration Section Head," 
Cairo, Egypt",Full Time
intrazero,Senior PHP Developer," 
Nasr City, Cairo",Full Time
Confidential Company,IT Project Coordinator,"Cairo, Egypt",Full Time
TEPCO S.A.E.,Group IT Manager," 
6th of October, Giza",Full Time
Antal International - Egypt,Back End Lead - Dot Net + Node / Python - Cairo," 
Cairo, Egypt",Full Time
Antal International - Egypt,Senior Machine Learning and NLP Engineer," 
Cairo, Egypt",Full Time
Algoriza,Senior Full Stack Developer," 
Giza, Egypt",Full Time
Jumia Technologies AG,Quality Assurance Engineer - Jumia (Full Time) Tech - Africa - Egypt," 
Cairo, Egypt",Full Time
Confidential Company,Infrastructure SAN Storage and Data Protection Manager,"Cairo, Egypt",Full Time
intrazero,Project Manager at Software House," 
Nasr City, Cairo",Full Time
Expleo,Senior Project Manager | Banking," 
Maadi, Cairo",Full Time
Sceel.io,Node JS Developer," 
Maadi, Cairo",Full Time
Sceel.io,Senior Ruby on rails Developer," 
Maadi, Cairo",Full Time
LINK TSP,Sr. Front End Developer," 
New Cairo, Cairo",Full Time
EAST,ERP Senior Specialist," 
Maadi, Cairo",Full Time
Smartverse,Application Support Microsoft Dynamics AX2012R3," 
Heliopolis, Cairo",Full Time
LxT,Data Engineer," 
Agouza, Giza",Full Time
Confidential Company,Senior .Net Full Stack Developer,"Cairo, Egypt",Full Time
Viavi Solutions,Full Stack Developer," 
Maadi, Cairo",Full Time
Basata,Senior Linux Engineer," 
Mokattam, Cairo",Full Time
Azm development,Product Owner," 
Cairo, Egypt",Full Time
Azm development,Product Owner," 
Cairo, Egypt",Work From Home
OdooTec,English speaking accountant who wants to shift career to IT," 
New Cairo, Cairo",Full Time
GLOBAL AUTO,Information Technology Specialist," 
Sheraton, Cairo",Full Time
WSC,Junior java developer," 
Dokki, Giza",Full Time
Confidential Company,UI UX Designer,"Cairo, Egypt",Part Time
Confidential Company,UI UX Designer,"Cairo, Egypt",Work From Home
Confidential Company,React JS Developer,"Cairo, Egypt",Full Time
Confidential Company,React JS Developer,"Cairo, Egypt",Part Time
Confidential Company,React JS Developer,"Cairo, Egypt",Work From Home
Telegeeks LLC,Business Development Manager," 
Downtown, Cairo",Full Time
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Software Engineer," 
Alexandria, Egypt",Full Time
Giza Arabia Systems,Project Admin," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Senior Automation Specialist," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Regional Cooling Service Expert (Cooling systems/HVAC systems)," 
Cairo, Egypt",Full Time
Antal International - Egypt,Senior Technical Talent Acquisition Consultant," 
Cairo, Egypt",Full Time
DXC.technology,Test Engineer," 
Cairo, Egypt",Full Time
Midea Group,IT operation and maintenance engineer," 
6th of October, Giza",Full Time
Noases,Junior Computer Vision Engineer," 
Cairo, Egypt",Full Time
IQRA Network,Customer Support Advisor," 
Cairo, Egypt",Full Time
IQRA Network,Customer Support Advisor," 
Cairo, Egypt",Work From Home
Confidential Company,PHP Developer required,"Cairo, Egypt",Full Time
Zeal Capital Market (Seychelles) Limited,Trading Services Specialist," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Lead Management Engineer - French Speaker," 
Cairo, Egypt",Full Time
PILLARS CONSULTANCY & RECRUITMENT,Sales Client Executive – Banking/Financial Services -Large Multinational IT," 
Cairo, Egypt",Full Time
AFFSQUARE,Senior UI/UX Designer," 
Sheraton, Cairo",Full Time
Confidential Company,Full Stack Developer - MERN,"Cairo, Egypt",Full Time
Confidential Company,Full Stack Developer - MERN,"Cairo, Egypt",Freelance / Project
Octane solutions,Mid Level Testing Engineer," 
Cairo, Egypt",Full Time
Octane solutions,Senior Testing Engineer," 
Cairo, Egypt",Full Time
Confidential Company,Digital Marketing Manager,"Cairo, Egypt",Full Time
Confidential Company,PHP Backend Developer,"Cairo, Egypt",Full Time
DXC.technology,Java Developer," 
Cairo, Egypt",Full Time
Confidential Company,Flutter Mobile Developer,"Cairo, Egypt",Full Time
Confidential Company,Data Analyst,"Cairo, Egypt",Full Time
Confidential Company,Technical Support,"Cairo, Egypt",Full Time
Raya Holding for Financial Investments,Senior Manager E-Payments Development," 
Cairo, Egypt",Full Time
Confidential Company,Product Manager,"Cairo, Egypt",Full Time
SURE International Technology,Senior Front End Developer," 
Nasr City, Cairo",Full Time
Xceed Contact Center,Information Security Senior Specialist," 
Maadi, Cairo",Full Time
Ejada,Java Developer.," 
Heliopolis, Cairo",Full Time
Roaya,Software Sales Account Manager," 
Maadi, Cairo",Full Time
Egast,"SAP Consultant "" business One"""," 
Bab Sharq, Alexandria",Full Time
Aliaict,Digital Marketing Specialist," 
Nasr City, Cairo",Full Time
softprograms,Software Development Team Leader (Java & Angular)," 
Nasr City, Cairo",Full Time
Arabian Advanced Systems,Senior React Developer," 
New Cairo, Cairo",Full Time
Arabian Advanced Systems,Senior React Developer," 
New Cairo, Cairo",Work From Home
Network International -Egypt,Online Live Support Senior Specialist," 
New Cairo, Cairo",Full Time
DX Republic,Java Spring Boot Developer," 
Maadi, Cairo",Full Time
softprograms,Software Business Analyst," 
Nasr City, Cairo",Full Time
Samaya Electronics Egypt LTD,Embedded Hardware Senior Engineer," 
Nasr City, Cairo",Full Time
softprograms,Senior Full Stack Developer (.NET Core & Angular)," 
Nasr City, Cairo",Full Time
softprograms,Senior Software Testing Engineer," 
Nasr City, Cairo",Full Time
softprograms,Senior java Full Stack Developer (Spring Boot & Angular)," 
Nasr City, Cairo",Full Time
EEC Group,Junior Web Developer - Full Stack," 
Sheraton, Cairo",Full Time
Kian Alraqmih,SEO Specialist," 
Mansoura, Dakahlia",Full Time
MICA,Network Instructor1," 
Haram, Giza",Full Time
acwme,Technical Business Analyst and Project Manager," 
Downtown, Cairo",Full Time
acwme,Technical Business Analyst and Project Manager," 
Downtown, Cairo",Part Time
acwme,Technical Business Analyst and Project Manager," 
Downtown, Cairo",Work From Home
Four Seasons Hotels and Resorts,Assistant Director of Engineering," 
Cairo, Egypt",Full Time
"Honeywell International, Inc.",Intern Bachelors Cyber Sec," 
Cairo, Egypt",Full Time
Kuehne & Nagel Logistics,Sea Logistics Expert- Systems and process," 
Cairo, Egypt",Full Time
S.C. Johnson & Son Inc,"Senior Associate, Packaging Engineer"," 
Cairo, Egypt",Full Time
Raya Holding for Financial Investments,Infrastructure Manager," 
Cairo, Egypt",Full Time
eBSEG,Senior Full Stack .Net Web Developer," 
Maadi, Cairo",Full Time
Confidential Company,Quality Manager,"Cairo, Egypt",Full Time
Kasrawy Group,CCTV Engineer (Light Current)," 
Abu Rawash, Giza",Full Time
Measuresoft oil and gas Services,web developer," 
New Cairo, Cairo",Full Time
Confidential Company,Application Manager,"Cairo, Egypt",Full Time
Confidential Company,Senior .NET Core Web Developer,"Cairo, Egypt",Full Time
Confidential Company,Senior Front End Developer (Angular Developer),"Cairo, Egypt",Full Time
Global Academic Foundation Hosting University of Hertfordshire UH,Application Support Officer," 
New Capital, Cairo",Full Time
IT Pillars,Pre Sales Engineer," 
Nasr City, Cairo",Full Time
IT Pillars,Network Technical Support," 
Nasr City, Cairo",Full Time
IT Pillars,System Analyst," 
Nasr City, Cairo",Full Time
DX Republic,Software Testing Team Lead," 
Cairo, Egypt",Full Time
Confidential Company,SAP PP - QM / PM Consultant,"Cairo, Egypt",Full Time
Pillars,Sales Client Executive - Banking/Financial Services - Large Multinational IT," 
Cairo, Egypt",Full Time
Khatib & Alami,Senior Quality Auditor," 
Cairo, Egypt",Full Time
Al Ahly Momkn for e-payment,Automation Testing Team Leader," 
Maadi, Cairo",Full Time
eVision,Senior Software Developer," 
New Cairo, Cairo",Full Time
Numrah,QA Mobile Engineer," 
Cairo, Egypt",Full Time
Nature's Rule Egypt LLC,SAP Admin / IT Admin," 
New Cairo, Cairo",Full Time
Statements for Consulting,Senior IT Specialist (Help Desk & Technical Support)," 
Boulaq, Cairo",Full Time
Ultimate Solutions Egypt,TEMENOS INFINITY Architect," 
Sheikh Zayed, Giza",Full Time
OdooTec,ERP Project Manager," 
New Cairo, Cairo",Full Time
Sarmady,Senior Scrum Master," 
Giza, Egypt",Full Time
Ultimate Solutions Egypt,TEMENOS INFINITY Developer," 
Sheikh Zayed, Giza",Full Time
OdooTec,Software Development Team Lead," 
New Cairo, Cairo",Full Time
Elhazek Construction,IT Support Engineer," 
New Cairo, Cairo",Full Time
Confidential Company,.net Developer,"Cairo, Egypt",Full Time
Kick Start Interactive,System Analyst (Hybrid work)," 
Dokki, Giza",Full Time
Noases,Flutter Developers," 
Nasr City, Cairo",Full Time
Noases,Full Stack Engineer," 
Nasr City, Cairo",Full Time
INNOVA SOFT,Software tester / system analyst," 
Cairo, Egypt",Full Time
INNOVA SOFT,Software tester / system analyst," 
Cairo, Egypt",Work From Home
Kuehne & Nagel Logistics,National Project Logistics Customer Excellence Manager," 
Cairo, Egypt",Full Time
"Halliburton Energy Services, Inc.",Field Engineer I - Directional Drilling," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Offer Marketing Senior Engineer," 
Cairo, Egypt",Full Time
VAS Integrated Solutions,Presales Consultant – Dell Technologies," 
Cairo, Egypt",Full Time
VAS Integrated Solutions,Senior Channel Sale Manager - Fortinet," 
Cairo, Egypt",Full Time
VAS Integrated Solutions,Senior Presales Consultant - Fortinet," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Senior Technical Support Engineer," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Delegated Admin & CI Senior Expert," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Delivery Manager - Scrum Master," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Project Controller Associate," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Project Engineer," 
Cairo, Egypt",Full Time
Schneider Electric - Egypt,Software Solution Sales Engineer," 
Cairo, Egypt",Full Time
Nerva,Head OF Operations," 
Abdeen, Cairo",Full Time
Confidential Company,Key Accounts Manager,"Cairo, Egypt",Full Time
Auto Tager,Vice president of Technology," 
Heliopolis, Cairo",Full Time
GET Group- Egypt,Senior Application Support Engineer," 
Heliopolis, Cairo",Full Time
Egabi FSI,Senior Frontend Developer- Angular," 
Sheraton, Cairo",Full Time
Nerva,Financial Manager (Hospitality and Real Estate) in KSA," 
Abdeen, Cairo",Full Time
Giza Arabia Systems,Senior Channel Sale Manager - Fortinet," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Head of Technical Delivery-Smart Solutions," 
Cairo, Egypt",Full Time
Basata,Technical Support," 
Mokattam, Cairo",Full Time
Arabian Advanced Systems,Oracle Developer," 
New Cairo, Cairo",Full Time
Arabian Advanced Systems,Oracle Developer," 
New Cairo, Cairo",Work From Home
Giza Arabia Systems,Senior DevOps Engineer," 
Cairo, Egypt",Full Time
Erada,Data Engineer," 
Maadi, Cairo",Full Time
WorldFish,Consultant (Gender and Social Inclusion)," 
Cairo, Egypt",Full Time
WorldFish,Consultant (Gender and Social Inclusion)," 
Cairo, Egypt",Work From Home
Giza Arabia Systems,DevOps Practice Manager," 
Cairo, Egypt",Full Time
Giza Arabia Systems,Presales Consultant – Dell Technologies," 
Cairo, Egypt",Full Time
PILLARS CONSULTANCY & RECRUITMENT,Technical Manager (International Construction)," 
Cairo, Egypt",Full Time
WUZZUF,Senior Quality Control Engineer," 
Maadi, Cairo",Full Time
Shatta,Infrastructure&Support Specialist," 
New Nozha, Cairo",Full Time
Confidential Company,Graphic Designer specialist,"Cairo, Egypt",Full Time
Shatta,Infrastructure Team Leader," 
New Nozha, Cairo",Full Time
DXC.technology,.Net Developer," 
Cairo, Egypt",Full Time
"Nile Bits, LLC.",WordPress/WooCommerce Developer," 
Cairo, Egypt",Full Time
"Nile Bits, LLC.",WordPress/WooCommerce Developer," 
Cairo, Egypt",Work From Home
9H Capital,Senior Technical Project Owner," 
Cairo, Egypt",Full Time
9H Capital,Senior Technical Project Owner," 
Cairo, Egypt",Work From Home
Amazon MENA,"Vendor Consultant - Italian Speakers, AVS-NOP"," 
Cairo, Egypt",Full Time
Amazon MENA,"Investigations Manager I, Shopping Experience Protection Operations (SEPO)-Customer Discovery Trust"," 
Cairo, Egypt",Full Time
Intercept Technologies,Software Sales Account manager ( Per project )," 
Nasr City, Cairo",Freelance / Project
WUZZUF,Quality Control Engineer Internship," 
Maadi, Cairo",Internship
Expleo,Senior LMS Administrator," 
Maadi, Cairo",Full Time
WUZZUF,Backend Developer Internship," 
Maadi, Cairo",Internship
Confidential Company,Call Dispatcher & Tech. Support,"Cairo, Egypt",Full Time
Confidential Company,IT Specialist,"Cairo, Egypt",Part Time
Confidential Company,IT Specialist,"Cairo, Egypt",Freelance / Project
Nerva,Odoo Functional Consultant," 
Abdeen, Cairo",Full Time
El-Sewedy Electrometer,Security Engineer (6th of October)," 
6th of October, Giza",Full Time
Arabic Localizer,Account Manager-Alexandria," 
San Stefano, Alexandria",Full Time
Nour Eldin Elsherif for Trading vehicles,System Administrator," 
Sheikh Zayed, Giza",Full Time
Confidential Company,Senior Network Security Engineer,"Cairo, Egypt",Full Time
Expleo,IT Specialist," 
Cairo, Egypt",Full Time
Delta Egypt For Lighting,IT Help Desk," 
Obour City, Cairo",Full Time
Tokio Marine Egypt General,Oracle Developer," 
Heliopolis, Cairo",Full Time
Kasrawy Group,ERP Support Assistant," 
Abu Rawash, Giza",Full Time
Fawry for Banking Technology and Electronic Payments S.A.E,Automation Testing Engineer.," 
Smart Village, Giza",Full Time
Mass Technology,IT Sales Executive," 
New Cairo, Cairo",Full Time
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Testing Engineer," 
Smart Village, Giza",Full Time
Confidential Company,.NET Team Lead,"Cairo, Egypt",Full Time
Youxel,Senior Front-End Developer," 
Cairo, Egypt",Full Time
9H Capital,WordPress Software Engineer (8+ years Experience)," 
Cairo, Egypt",Work From Home
Confidential Company,Senior Technical Manager - Enterprise Resource Planning (ERP) System,"Cairo, Egypt",Full Time
365 Ecology,Odoo Implementer," 
Sheikh Zayed, Giza",Full Time
Amasi,Senior PHP Developer," 
Cairo, Egypt",Full Time
Amasi,Senior PHP Developer," 
Cairo, Egypt",Work From Home
Confidential Company,Software Tester,"Cairo, Egypt",Full Time
Confidential Company,Junior Android Developer,"Cairo, Egypt",Full Time
Confidential Company,Embedded Software Engineer,"Cairo, Egypt",Full Time
2CooM,Graphic Designer," 
6th of October, Giza",Full Time
International Advanced,senior software tester," 
Nasr City, Cairo",Full Time
Bypa-ss,Senior React Native Developer," 
Maadi, Cairo",Full Time
Bypa-ss,Junior React Native developer," 
Maadi, Cairo",Full Time
Bypa-ss,Senior Java Developer," 
Maadi, Cairo",Full Time
Cilantro,IT Network Administrator," 
Maadi, Cairo",Full Time
Confidential Company,Head of Technical Delivery,"Cairo, Egypt",Full Time
Amasi,Senior Java Developer," 
Cairo, Egypt",Full Time
