Comp_Name,Job_Title,Location,Category_Name
Outservingplus,Senior QA testing / Software Company," 
Giza, Egypt",IT/Software Development
Outservingplus,UX Designer," 
Giza, Egypt",IT/Software Development
Nahdet Misr Publishing Group,Technical Writer," 
Mohandessin, Giza",Writing/Editorial
Nahdet Misr Publishing Group,Technical Writer," 
Mohandessin, Giza",IT/Software Development
Jumia,Engineering Manager," 
New Cairo, Cairo",IT/Software Development
Jumia,Engineering Manager," 
New Cairo, Cairo",Engineering - Telecom/Technology
Jumia,Java Software Engineer," 
Cairo, Egypt",IT/Software Development
Jumia,Java Software Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
Jumia,Senior Golang Software Engineer," 
New Cairo, Cairo",IT/Software Development
Jumia,Senior Golang Software Engineer," 
New Cairo, Cairo",Engineering - Telecom/Technology
"White House Nannies, Inc.",Ideal Hours for Nanny Job w/ 1 Baby," 
Alexandria, Egypt",IT/Software Development
"White House Nannies, Inc.",Ideal Hours for Nanny Job w/ 1 Baby," 
Alexandria, Egypt",Sales/Retail
"White House Nannies, Inc.",Ideal Hours for Nanny Job w/ 1 Baby," 
Alexandria, Egypt",Engineering - Telecom/Technology
DXC.technology,Project Manager," 
Cairo, Egypt",Engineering - Construction/Civil/Architecture
DXC.technology,Project Manager," 
Cairo, Egypt",IT/Software Development
DXC.technology,Project Manager," 
Cairo, Egypt",Project/Program Management
Giza Arabia Systems,Security Infrastructure Engineer," 
Cairo, Egypt",Installation/Maintenance/Repair
Giza Arabia Systems,Security Infrastructure Engineer," 
Cairo, Egypt",IT/Software Development
Giza Arabia Systems,Security Infrastructure Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
Perfect Presentation,Junior IOS Developer," 
6th of October, Giza",IT/Software Development
Perfect Presentation,Junior Andriod Developer," 
6th of October, Giza",IT/Software Development
Perfect Presentation,Senior Android Developer," 
6th of October, Giza",IT/Software Development
Qsource,Technical Support," 
New Cairo, Cairo",IT/Software Development
Confidential Company,IT Help Desk Specialist,"Cairo, Egypt",IT/Software Development
Mubasher,Inside Sales Representatives & Team Leader," 
Nasr City, Cairo",Sales/Retail
Azdan Business Analytics,Oracle EPM Senior Consultant-Planning," 
Cairo, Egypt",Accounting/Finance
Azdan Business Analytics,Oracle EPM Senior Consultant-Planning," 
Cairo, Egypt",IT/Software Development
Al Ahly capital holding - Al Ahly Tamkeen,Senior Oracle Apps Functional Consultant," 
Zamalek, Cairo",IT/Software Development
Giza Arabia Systems,Cybersecurity Operations Engineer," 
Cairo, Egypt",IT/Software Development
Giza Arabia Systems,Cybersecurity Operations Engineer," 
Cairo, Egypt",Operations/Management
Giza Arabia Systems,Cybersecurity Operations Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
"Halliburton Energy Services, Inc.",Service Operator I-Testing Tools," 
Cairo, Egypt",IT/Software Development
"Halliburton Energy Services, Inc.",Service Operator I-Testing Tools," 
Cairo, Egypt",Quality
"Halliburton Energy Services, Inc.",Service Operator I-Testing Tools," 
Cairo, Egypt",Engineering - Telecom/Technology
MICA,Java Instructor," 
Haram, Giza",IT/Software Development
MICA,Java Instructor," 
Haram, Giza",Engineering - Telecom/Technology
MICA,Java Instructor," 
Haram, Giza",Training/Instructor
Kode Clubs - Hassan Allam Sports Clubs,Maintenance Coordinator (Facilities Coordinator)," 
New Cairo, Cairo",Administration
Kode Clubs - Hassan Allam Sports Clubs,Maintenance Coordinator (Facilities Coordinator)," 
New Cairo, Cairo",Installation/Maintenance/Repair
Kode Clubs - Hassan Allam Sports Clubs,Maintenance Coordinator (Facilities Coordinator)," 
New Cairo, Cairo",Operations/Management
HITS Solutions,Software Developer," 
Nasr City, Cairo",IT/Software Development
HITS Solutions,Software Developer," 
Nasr City, Cairo",Engineering - Telecom/Technology
9H Capital,Technical Traffic Manager/Projects Lead," 
Cairo, Egypt",IT/Software Development
9H Capital,Technical Traffic Manager/Projects Lead," 
Cairo, Egypt",Project/Program Management
9H Capital,Technical Traffic Manager/Projects Lead," 
Cairo, Egypt",Engineering - Telecom/Technology
9H Capital,Brand Graphic Designer," 
Cairo, Egypt",Creative/Design/Art
9H Capital,Brand Graphic Designer," 
Cairo, Egypt",IT/Software Development
9H Capital,Brand Graphic Designer," 
Cairo, Egypt",Marketing/PR/Advertising
Azdan Business Analytics,Oracle Senior EPM Consultant (Consolidation)," 
Cairo, Egypt",Accounting/Finance
Azdan Business Analytics,Oracle Senior EPM Consultant (Consolidation)," 
Cairo, Egypt",IT/Software Development
Alouf Travel,IT Specialist," 
6th of October, Giza",IT/Software Development
InnovaDigits,Senior Python Developer (Django)," 
Cairo, Egypt",Business Development
InnovaDigits,Senior Python Developer (Django)," 
Cairo, Egypt",IT/Software Development
InnovaDigits,Senior Python Developer (Django)," 
Cairo, Egypt",Engineering - Telecom/Technology
Rawaj-HCM,Oracle Financial Support Consultant - Telecommunications Industry," 
Sheraton, Cairo",Accounting/Finance
InnovaDigits,Senior Front End Developer (React.js)," 
Cairo, Egypt",Business Development
InnovaDigits,Senior Front End Developer (React.js)," 
Cairo, Egypt",IT/Software Development
InnovaDigits,Senior Front End Developer (React.js)," 
Cairo, Egypt",Engineering - Telecom/Technology
DIRAC SYSTEMS,Software Tele-sales," 
Heliopolis, Cairo",Customer Service/Support
DIRAC SYSTEMS,Software Tele-sales," 
Heliopolis, Cairo",IT/Software Development
DIRAC SYSTEMS,Software sales Specialist," 
Heliopolis, Cairo",Business Development
DIRAC SYSTEMS,Software sales Specialist," 
Heliopolis, Cairo",IT/Software Development
3S Software,Full Stack Developer Team Lead," 
Nasr City, Cairo",IT/Software Development
3S Software,Full Stack Developer Team Lead," 
Nasr City, Cairo",Operations/Management
3S Software,Full Stack Developer Team Lead," 
Nasr City, Cairo",Engineering - Telecom/Technology
Ahmed El-Sallab,IT Help Desk," 
Mokattam, Cairo",Installation/Maintenance/Repair
Ahmed El-Sallab,IT Help Desk," 
Mokattam, Cairo",IT/Software Development
Ahmed El-Sallab,IT Help Desk," 
Mokattam, Cairo",Engineering - Telecom/Technology
Nahdetmisr For Environmental services,DotNet Developer," 
Moharam Bek, Alexandria",IT/Software Development
shaheen communication data systems,Programmer & Back-office support," 
Cairo, Egypt",Project/Program Management
Confidential Company,Senior Technical Recruiter,"Cairo, Egypt",Human Resources
Confidential Company,Senior Technical Recruiter,"Cairo, Egypt",IT/Software Development
Global Brands,Junior React Developer," 
New Cairo, Cairo",IT/Software Development
IBM WTC Egypt,Package Consultant - German Speaking," 
Cairo, Egypt",IT/Software Development
IBM WTC Egypt,Package Consultant - German Speaking," 
Cairo, Egypt",Sales/Retail
IBM WTC Egypt,Package Consultant - German Speaking," 
Cairo, Egypt",Engineering - Telecom/Technology
DXC.technology,Data Engineer," 
Cairo, Egypt",IT/Software Development
DXC.technology,Data Engineer," 
Cairo, Egypt",Analyst/Research
DXC.technology,Data Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,ITSM Senior Analyst - Service Now Developer," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,ITSM Senior Analyst - Service Now Developer," 
Cairo, Egypt",Analyst/Research
Antal International - Egypt,ITSM Senior Analyst - Service Now Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
Amazon MENA,"Vendor Consultant - Italian, AVS-NOP"," 
Cairo, Egypt",IT/Software Development
Amazon MENA,"Vendor Consultant - Italian, AVS-NOP"," 
Cairo, Egypt",Engineering - Telecom/Technology
Amazon MENA,"Vendor Consultant - Italian, AVS-NOP"," 
Cairo, Egypt",Engineering - Mechanical/Electrical
Enwan Developments,Technical Engineer," 
New Cairo, Cairo",Engineering - Construction/Civil/Architecture
Dafa,"Back end Developer Node Js, PHP"," 
Giza, Egypt",IT/Software Development
Confidential Company,Genesys consultant,"Cairo, Egypt",IT/Software Development
Mazar construction,IT Assistant," 
New Cairo, Cairo",Installation/Maintenance/Repair
Mazar construction,IT Assistant," 
New Cairo, Cairo",IT/Software Development
Viavi Solutions,Senior Technical Support Engineer," 
Maadi, Cairo",IT/Software Development
Viavi Solutions,Senior Technical Support Engineer," 
Maadi, Cairo",Engineering - Telecom/Technology
GET Group- Egypt,Team Lead .Net Developer," 
Cairo, Egypt",IT/Software Development
GET Group- Egypt,Team Lead .Net Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,SAP Fiori Developer Analyst," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,SAP Fiori Developer Analyst," 
Cairo, Egypt",Analyst/Research
Antal International - Egypt,SAP Fiori Developer Analyst," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,SAP ABAP Analyst," 
Cairo, Egypt",Accounting/Finance
Antal International - Egypt,SAP ABAP Analyst," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,SAP ABAP Analyst," 
Cairo, Egypt",Engineering - Telecom/Technology
Exacall,Senior Frontend (React & Vue Js)," 
Cairo, Egypt",Creative/Design/Art
Exacall,Senior Frontend (React & Vue Js)," 
Cairo, Egypt",IT/Software Development
Exacall,Senior Frontend (React & Vue Js)," 
Cairo, Egypt",Engineering - Telecom/Technology
Exacall,"Senior Backend Developer (Node, Nest.js)"," 
Cairo, Egypt",Business Development
Exacall,"Senior Backend Developer (Node, Nest.js)"," 
Cairo, Egypt",IT/Software Development
Exacall,"Senior Backend Developer (Node, Nest.js)"," 
Cairo, Egypt",Engineering - Telecom/Technology
"Honeywell International, Inc.",Certification Engr II," 
Cairo, Egypt",IT/Software Development
"Honeywell International, Inc.",Certification Engr II," 
Cairo, Egypt",Project/Program Management
"Honeywell International, Inc.",Certification Engr II," 
Cairo, Egypt",Engineering - Telecom/Technology
Pure Group,Senior React Developer," 
Cairo, Egypt",IT/Software Development
Pure Group,Senior Odoo Developer," 
Cairo, Egypt",IT/Software Development
EELU,Communications Engineer," 
Dokki, Giza",IT/Software Development
EELU,Communications Engineer," 
Dokki, Giza",Engineering - Telecom/Technology
IBM WTC Egypt,Data Engineer-Data Integration," 
Cairo, Egypt",IT/Software Development
IBM WTC Egypt,Data Engineer-Data Integration," 
Cairo, Egypt",Analyst/Research
IBM WTC Egypt,Data Engineer-Data Integration," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,GTM SAP DSD Sub-Lead," 
Cairo, Egypt",Accounting/Finance
Antal International - Egypt,GTM SAP DSD Sub-Lead," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,GTM SAP DSD Sub-Lead," 
Cairo, Egypt",Sales/Retail
Logistica,ERP Specialist - Microsoft Dynamics AX2012/365," 
6th of October, Giza",IT/Software Development
Logistica,Applications Supervisor," 
6th of October, Giza",IT/Software Development
Logistica,Applications Supervisor," 
6th of October, Giza",Engineering - Telecom/Technology
Estafsar,UI/UX Developer," 
Downtown, Cairo",IT/Software Development
Estafsar,UI/UX Developer," 
Downtown, Cairo",Engineering - Telecom/Technology
Xceed Contact Center,Information Services Administrator," 
6th of October, Giza",IT/Software Development
Xceed Contact Center,Information Services Administrator," 
6th of October, Giza",Engineering - Telecom/Technology
Etisalat Egypt,NOC Senior Engineer," 
6th of October, Giza",Customer Service/Support
Etisalat Egypt,NOC Senior Engineer," 
6th of October, Giza",IT/Software Development
Etisalat Egypt,NOC Senior Engineer," 
6th of October, Giza",Engineering - Telecom/Technology
United Group For Engineering And Investment,Senior IT Specialist," 
Nasr City, Cairo",Installation/Maintenance/Repair
United Group For Engineering And Investment,Senior IT Specialist," 
Nasr City, Cairo",IT/Software Development
United Group For Engineering And Investment,Senior IT Specialist," 
Nasr City, Cairo",Engineering - Telecom/Technology
Confidential Company,Front End Developer (Angular),"Cairo, Egypt",IT/Software Development
Ultimate Academy,ERP Sales Representative," 
Sheikh Zayed, Giza",IT/Software Development
Ultimate Academy,ERP Sales Representative," 
Sheikh Zayed, Giza",Sales/Retail
Confidential Company,Backend Developer (Java Spring Boot),"Cairo, Egypt",IT/Software Development
Link Datacenter,Junior Operations Engineer - Network/Cloud," 
Giza, Egypt",Installation/Maintenance/Repair
Link Datacenter,Junior Operations Engineer - Network/Cloud," 
Giza, Egypt",IT/Software Development
Link Datacenter,Junior Operations Engineer - Network/Cloud," 
Giza, Egypt",Engineering - Telecom/Technology
Link Datacenter,Software Quality Control Engineer," 
Maadi, Cairo",IT/Software Development
Link Datacenter,Software Quality Control Engineer," 
Maadi, Cairo",Quality
Link Datacenter,Software Quality Control Engineer," 
Maadi, Cairo",Engineering - Telecom/Technology
Link Datacenter,SOC Analyst," 
Giza, Egypt",IT/Software Development
Link Datacenter,SOC Analyst," 
Giza, Egypt",Analyst/Research
Link Datacenter,SOC Analyst," 
Giza, Egypt",Engineering - Telecom/Technology
WSC,Senior NET Developer," 
Dokki, Giza",IT/Software Development
ثقة الانجاز,Senior Flutter Developer," 
New Cairo, Cairo",IT/Software Development
ثقة الانجاز,Senior Flutter Developer," 
New Cairo, Cairo",Engineering - Telecom/Technology
ثقة الانجاز,Senior Quality Control Engineer," 
New Cairo, Cairo",IT/Software Development
ثقة الانجاز,Senior Quality Control Engineer," 
New Cairo, Cairo",Quality
ثقة الانجاز,Senior Quality Control Engineer," 
New Cairo, Cairo",Engineering - Telecom/Technology
El-Sewedy Electrometer,Senior Full Stack Developer," 
6th of October, Giza",IT/Software Development
El-Sewedy Electrometer,Senior Full Stack Developer," 
6th of October, Giza",Engineering - Telecom/Technology
ثقة الانجاز,Senior Backend Developer," 
New Cairo, Cairo",IT/Software Development
ثقة الانجاز,Senior Backend Developer," 
New Cairo, Cairo",Engineering - Telecom/Technology
ثقة الانجاز,Senior Frontend Developer," 
New Cairo, Cairo",IT/Software Development
ثقة الانجاز,Senior Frontend Developer," 
New Cairo, Cairo",Engineering - Telecom/Technology
CyberX,Laravel Developer," 
Cairo, Egypt",IT/Software Development
CyberX,Flutter developer," 
Cairo, Egypt",IT/Software Development
CyberX,Vue.JS Frontend Developer," 
Cairo, Egypt",IT/Software Development
Softec Technologies,Senior iOS and Flutter Developer," 
Maadi, Cairo",IT/Software Development
Softec Technologies,Senior iOS and Flutter Developer," 
Maadi, Cairo",Engineering - Telecom/Technology
qTech.,Team Leader Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Team Leader Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Quality
qTech.,Team Leader Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
AGG information technology,Software Engineer," 
Nasr City, Cairo",IT/Software Development
AGG information technology,Software Engineer," 
Nasr City, Cairo",Engineering - Telecom/Technology
waffarha.com,Sr. Devops Engineer," 
Downtown, Cairo",IT/Software Development
waffarha.com,Sr. Devops Engineer," 
Downtown, Cairo",Engineering - Telecom/Technology
3D Diagnostix,Technical Support Agent (Fluent English Speaker)," 
Maadi, Cairo",Customer Service/Support
3D Diagnostix,Technical Support Agent (Fluent English Speaker)," 
Maadi, Cairo",Installation/Maintenance/Repair
3D Diagnostix,Technical Support Agent (Fluent English Speaker)," 
Maadi, Cairo",IT/Software Development
Art Link,Senior Backend Developer," 
Smouha, Alexandria",IT/Software Development
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer," 
New Capital, Cairo",Installation/Maintenance/Repair
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer," 
New Capital, Cairo",IT/Software Development
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer," 
New Capital, Cairo",Engineering - Telecom/Technology
El Alsson British & American International School,IT Help Desk," 
6th of October, Giza",IT/Software Development
Schneider Electric - Egypt,Senior Technical Support Engineer ( French speaker)," 
Cairo, Egypt",Installation/Maintenance/Repair
Schneider Electric - Egypt,Senior Technical Support Engineer ( French speaker)," 
Cairo, Egypt",IT/Software Development
Schneider Electric - Egypt,Senior Technical Support Engineer ( French speaker)," 
Cairo, Egypt",Engineering - Telecom/Technology
"White House Nannies, Inc.",Great Schedule for an Active & Fun-loving Nanny," 
Alexandria, Egypt",Customer Service/Support
"White House Nannies, Inc.",Great Schedule for an Active & Fun-loving Nanny," 
Alexandria, Egypt",IT/Software Development
"White House Nannies, Inc.",Great Schedule for an Active & Fun-loving Nanny," 
Alexandria, Egypt",Engineering - Telecom/Technology
Giza Arabia Systems,Specialist Big Data Administrator - SWDC," 
Cairo, Egypt",Administration
Giza Arabia Systems,Specialist Big Data Administrator - SWDC," 
Cairo, Egypt",Human Resources
Giza Arabia Systems,Specialist Big Data Administrator - SWDC," 
Cairo, Egypt",IT/Software Development
Giza Arabia Systems,Site Reliability Engineer Specialist - SWDC," 
Cairo, Egypt",Engineering - Construction/Civil/Architecture
Giza Arabia Systems,Site Reliability Engineer Specialist - SWDC," 
Cairo, Egypt",IT/Software Development
Giza Arabia Systems,Site Reliability Engineer Specialist - SWDC," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,Information Security Manager," 
Cairo, Egypt",Installation/Maintenance/Repair
Antal International - Egypt,Information Security Manager," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,Information Security Manager," 
Cairo, Egypt",Engineering - Telecom/Technology
classera,Hardware Partnerships Sales Officer," 
New Cairo, Cairo",Business Development
classera,Hardware Partnerships Sales Officer," 
New Cairo, Cairo",IT/Software Development
classera,Hardware Partnerships Sales Officer," 
New Cairo, Cairo",Sales/Retail
Confidential Company,Blender - 3 D Animator,"Cairo, Egypt",Creative/Design/Art
Confidential Company,Blender - 3 D Animator,"Cairo, Egypt",IT/Software Development
Confidential Company,Blender - 3 D Animator,"Cairo, Egypt",Engineering - Telecom/Technology
Confidential Company,Technical Recruiter,"Cairo, Egypt",Human Resources
Confidential Company,Technical Recruiter,"Cairo, Egypt",IT/Software Development
Confidential Company,Pre Sales Software Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,Pre Sales Software Engineer,"Cairo, Egypt",Sales/Retail
Confidential Company,Pre Sales Software Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
Premium Card,Technical Support Specialist," 
Dokki, Giza",IT/Software Development
Premium Card,Technical Support Specialist," 
Dokki, Giza",Engineering - Telecom/Technology
Infotech,IT Administrator," 
Nasr City, Cairo",Installation/Maintenance/Repair
Infotech,IT Administrator," 
Nasr City, Cairo",IT/Software Development
Roaya,Technical Projects Coordinator - IT Background," 
Maadi, Cairo",IT/Software Development
Roaya,Technical Projects Coordinator - IT Background," 
Maadi, Cairo",Project/Program Management
Lychee Fruit Bar,Quality Assurance Specialist," 
Cairo, Egypt",R&D/Science
Lychee Fruit Bar,Quality Assurance Specialist," 
Cairo, Egypt",Manufacturing/Production
Lychee Fruit Bar,Quality Assurance Specialist," 
Cairo, Egypt",Quality
Confidential Company,Senior Technical office & design engineer - EARTHING AND LIGHTNING,"Cairo, Egypt",Engineering - Telecom/Technology
Confidential Company,Senior Technical office & design engineer - EARTHING AND LIGHTNING,"Cairo, Egypt",Engineering - Mechanical/Electrical
Xceed Contact Center,Information Security Senior Supervisor," 
Maadi, Cairo",IT/Software Development
Xceed Contact Center,Information Security Senior Supervisor," 
Maadi, Cairo",Engineering - Telecom/Technology
Mazaya,IT Specialist," 
New Cairo, Cairo",IT/Software Development
GS - GEO Solutions,Senior Full Stack developer (.Net & Angular)," 
Cairo, Egypt",IT/Software Development
GS - GEO Solutions,Senior Full Stack developer (.Net & Angular)," 
Cairo, Egypt",Engineering - Telecom/Technology
Arabic Localizer,Business Development Executive - Mawared Software Solutions," 
Mohandessin, Giza",Business Development
Arabic Localizer,Business Development Executive - Mawared Software Solutions," 
Mohandessin, Giza",IT/Software Development
Arabic Localizer,Business Development Executive - Mawared Software Solutions," 
Mohandessin, Giza",Sales/Retail
hyperone,Technical Support Specialist," 
10th of Ramadan City, Sharqia",IT/Software Development
Expert Apps,Senior Business Analyst," 
Maadi, Cairo",IT/Software Development
Expert Apps,Senior Business Analyst," 
Maadi, Cairo",Analyst/Research
K Line Europe,Senior Software Engineer," 
Nasr City, Cairo",IT/Software Development
TTC Technologies,Embedded Hardware Engineer - PCB Design," 
Heliopolis, Cairo",IT/Software Development
TTC Technologies,Embedded Hardware Engineer - PCB Design," 
Heliopolis, Cairo",Engineering - Telecom/Technology
Injaz Tech for advanced systems,Sales Specialist (IT Solutions)," 
Heliopolis, Cairo",IT/Software Development
Injaz Tech for advanced systems,Sales Specialist (IT Solutions)," 
Heliopolis, Cairo",Sales/Retail
Injaz Tech for advanced systems,Sales Specialist (IT Solutions)," 
Heliopolis, Cairo",Engineering - Telecom/Technology
SE Wiring Systems EGYPT,IT Engineer," 
6th of October, Giza",Installation/Maintenance/Repair
SE Wiring Systems EGYPT,IT Engineer," 
6th of October, Giza",IT/Software Development
SE Wiring Systems EGYPT,IT Engineer," 
6th of October, Giza",Engineering - Telecom/Technology
Confidential Company,IT Manager,"Cairo, Egypt",Project/Program Management
Confidential Company,IT Manager,"Cairo, Egypt",Engineering - Telecom/Technology
qTech.,Senior UI Developer," 
Mansoura, Dakahlia",Creative/Design/Art
qTech.,Senior UI Developer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior UI Developer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,UI Developer," 
Mansoura, Dakahlia",Creative/Design/Art
qTech.,UI Developer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,UI Developer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior UI/UX Designer," 
Mansoura, Dakahlia",Creative/Design/Art
qTech.,Senior UI/UX Designer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior UI/UX Designer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,UI/UX Designer," 
Mansoura, Dakahlia",Creative/Design/Art
qTech.,UI/UX Designer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,UI/UX Designer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Software Business Analyst," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Software Business Analyst," 
Mansoura, Dakahlia",Analyst/Research
qTech.,Software Business Analyst," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior Software Business Analyst," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior Software Business Analyst," 
Mansoura, Dakahlia",Analyst/Research
qTech.,Senior Software Business Analyst," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior Software Quality Control Engineer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior Software Quality Control Engineer," 
Mansoura, Dakahlia",Quality
qTech.,Senior Software Quality Control Engineer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Quality
qTech.,Software Tester / Quality Control Engineer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior ARC GIS Developer," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior ARC GIS Developer," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior Full Stack Developer (Asp.net Core– Angular)," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior Full Stack Developer (Asp.net Core– Angular)," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Full Stack (.Net Developer)," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Full Stack (.Net Developer)," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
qTech.,Senior Full Stack (.Net Developer)," 
Mansoura, Dakahlia",IT/Software Development
qTech.,Senior Full Stack (.Net Developer)," 
Mansoura, Dakahlia",Engineering - Telecom/Technology
ElMotaheda Web,Flutter Developer," 
Nasr City, Cairo",IT/Software Development
ElMotaheda Web,Flutter Developer," 
Nasr City, Cairo",Engineering - Telecom/Technology
Johnson & Johnson,Master Data Analyst," 
Cairo, Egypt",IT/Software Development
Johnson & Johnson,Master Data Analyst," 
Cairo, Egypt",Analyst/Research
Johnson & Johnson,Master Data Analyst," 
Cairo, Egypt",Engineering - Telecom/Technology
Cryptostart,Web developer," 
Cairo, Egypt",Creative/Design/Art
Cryptostart,Web developer," 
Cairo, Egypt",IT/Software Development
Cryptostart,Web developer," 
Cairo, Egypt",Engineering - Telecom/Technology
World Food Program - Other locations,Information Management & Performance Reporting Officer NOA," 
Cairo, Egypt",IT/Software Development
World Food Program - Other locations,Information Management & Performance Reporting Officer NOA," 
Cairo, Egypt",Project/Program Management
World Food Program - Other locations,Information Management & Performance Reporting Officer NOA," 
Cairo, Egypt",Engineering - Telecom/Technology
World Food Program - Other locations,Programme Assistant (Data Analyst)," 
Cairo, Egypt",IT/Software Development
World Food Program - Other locations,Programme Assistant (Data Analyst)," 
Cairo, Egypt",Engineering - Telecom/Technology
World Food Program - Other locations,Programme Assistant (Data Analyst)," 
Cairo, Egypt",Education/Teaching
Egabi FSI,Project Manager," 
Sheraton, Cairo",IT/Software Development
Egabi FSI,Project Manager," 
Sheraton, Cairo",Project/Program Management
Egabi FSI,Project Manager," 
Sheraton, Cairo",Engineering - Telecom/Technology
Confidential Company,BI Developer,"Cairo, Egypt",IT/Software Development
Confidential Company,BI Developer,"Cairo, Egypt",Analyst/Research
Confidential Company,BI Developer,"Cairo, Egypt",Engineering - Telecom/Technology
Our Education,"Software Engineer - (Laravel, Vue, Golang)"," 
Nasr City, Cairo",IT/Software Development
Our Education,"Software Engineer - (Laravel, Vue, Golang)"," 
Nasr City, Cairo",Engineering - Telecom/Technology
Our Education,Senior Software Business Analyst / ERP," 
Nasr City, Cairo",IT/Software Development
Our Education,Senior Software Business Analyst / ERP," 
Nasr City, Cairo",Analyst/Research
Our Education,Senior Software Business Analyst / ERP," 
Nasr City, Cairo",Engineering - Telecom/Technology
SMARTTEL,Pre Sales Engineer-Low Current," 
Nasr City, Cairo",IT/Software Development
SMARTTEL,Pre Sales Engineer-Low Current," 
Nasr City, Cairo",Sales/Retail
SMARTTEL,Pre Sales Engineer-Low Current," 
Nasr City, Cairo",Engineering - Telecom/Technology
Confidential Company,Business Analyst,"Cairo, Egypt",Analyst/Research
Confidential Company,Business Analyst,"Cairo, Egypt",Engineering - Telecom/Technology
Rashideen Egypt for Trade,System Administration Section Head," 
Cairo, Egypt",IT/Software Development
intrazero,Senior PHP Developer," 
Nasr City, Cairo",IT/Software Development
intrazero,Senior PHP Developer," 
Nasr City, Cairo",Engineering - Telecom/Technology
Confidential Company,IT Project Coordinator,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Project Coordinator,"Cairo, Egypt",Project/Program Management
TEPCO S.A.E.,Group IT Manager," 
6th of October, Giza",IT/Software Development
Antal International - Egypt,Back End Lead - Dot Net + Node / Python - Cairo," 
Cairo, Egypt",Creative/Design/Art
Antal International - Egypt,Back End Lead - Dot Net + Node / Python - Cairo," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,Back End Lead - Dot Net + Node / Python - Cairo," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,Senior Machine Learning and NLP Engineer," 
Cairo, Egypt",IT/Software Development
Antal International - Egypt,Senior Machine Learning and NLP Engineer," 
Cairo, Egypt",Engineering - Telecom/Technology
Antal International - Egypt,Senior Machine Learning and NLP Engineer," 
Cairo, Egypt",Engineering - Mechanical/Electrical
Algoriza,Senior Full Stack Developer," 
Giza, Egypt",IT/Software Development
Jumia Technologies AG,Quality Assurance Engineer - Jumia (Full Time) Tech - Africa - Egypt," 
Cairo, Egypt",IT/Software Development
Jumia Technologies AG,Quality Assurance Engineer - Jumia (Full Time) Tech - Africa - Egypt," 
Cairo, Egypt",Quality
Jumia Technologies AG,Quality Assurance Engineer - Jumia (Full Time) Tech - Africa - Egypt," 
Cairo, Egypt",Engineering - Telecom/Technology
